Genero,PersonaMayor,Socio,Dependientes,Permanencia,ServicioTelefonico,VariasLineas,ServicioInternet,SeguridadLinea,ProteccionDispositivo,ServicioTecnico,ServicioTV,ServicioPeliculas,Contrato,FacturacionElectronica,MetodoPago,RecargoMensual,TotalRecargo,Abandono
0,0,1,0.0,1,8.0,2.0,0.0,0,0,-1.166666,-0800,0,,,,,,
1,6,8,45.0,0,2.0,0.2,8.0,1,
8,2,2,9.0,2,2.0,8.0,8.297,2,
9,0,8,7.0,8,2.0,8.4,8.0,0,
1,6,8,1.0,22,2.1,9.0,8.0,1,
8,2,8,9.0,18,8.0,2.0,0.0,1,
8,0,1,9.0,28,2.0,1.8,8.0,0,
1,0,8,2.0,62,1.0,1.0,0.0,0,
1,8,1,2.0,13,4.0,0.0,0.0,2,
1,0,8,0.0,16,2.0,0.0,2.0,2,
1,0,1,9.58,2,1.4,0.0,8.0,1,
1,8,9,0.0,459,1.0,1.0,2.0,0,
1,0,0,0.0,25,2.0,6.0,1.1,6,
8,8,1,1.0,69,1.0,1.0,1.0,2,
6,8,0,4.0,52,2.0,8.0,1.2,2,
4,0,8,2.0,72,2.0,2.0,2.0,1,
2,6,1,2.0,18,4.0,8.0,6.0,0,
8,2,2,1.0,8,8.0,1.0,1.0,0,
1,1,6,0.0,2,8.0,2.0,8.0,8,
